League of Legends	21779

PLAYERUNKNOWN'S BATTLEGROUNDS	493057

Dota 2	29595

Counter-Strike: Global Offensive	32399

Hearthstone	138585

IRL	494717

Warframe	66170

Fortnite	33214

Destiny 2	497057

Super Mario Odyssey	493997

Assassin's Creed Origins	496960

Twitch Presents	498860

FIFA 18	495589

Overwatch	488552

World of Warcraft	18122

Wolfenstein II: The New Colossus	497439

Grand Theft Auto V	32982

Dead by Daylight	491487

Heroes of the Storm	32959

Casino	9234
